Abandonar;quit;quit;quit;
Achar;find;found;found;
Acontecer;befall;befell;befallen;
Acordar;wakeup;wokeup;wokenup
Aderir;cling;clung;clung
Adquirir;get;got;gotten
Afundar;sink;sank;sunk
Alcançar;overtake;overtook;overtaken
Alimentar;feed;fed;fed
Alugar;let;let;let
Alvejar;shoot;shot;shot
Amarrar;string;strung;strung
Andar;ride;rode;ridden
Apostar;bet;bet;bet
Arremessar;sling;slung;slung
Assentar;fling;flung;flung
Assoprar;lay;laid;laid
Atirar;throw;threw;trown
Balançar;swing;swung;swung
Bater;beat;beat;beaten
Bater2;hit;hit;hit
Beber;drink;drank;drunk
Brilhar;light;lit;lit
Cair;fall;fell;fallen
Cantar;sing;sang;sung
Cavocar;dig;dug;dug
CherarMal;stink;stank;stunk
Colocar;put;put;put
Começar;begin;began;begun
Comer;eat;ate;eaten
Comprar;buy;bought;bought
Congelar;freeze;froze;frozen
Construir;build;built;built
Contar;tell;told;told
Contemplar;behold;beheld;beheld
Correr;run;ran;run
Cortar;cut;cut;cut
Cravar;stick;stuck;stuck
Crescer;grow;grew;grown
Curvar;bend;bent;bent
Cuspir;spit;spat;spat
Custar;cost;cost;cost
Dar;give;gave;given
Deitar;cast;cast;cast
Deitar;lie;lay;lain
Deixar;let;let;let
Desenhar;draw;drew;drawn
Deslizar;slide;slid;slid
Despertar;awake;awoke;awoken
Dirigir;drive;drove;driven
Dizer;say;said;said
Dormir;sleep;slept;slept
Emprestar;land;lent;lent
Encolher;shirnk;shrank;shrunk
Encontrar;meet;met;met
Enrolar;wind;wound;wound
Ensinar;teach;taught;taught
Entender;understand;understood;understood
Enviar;send;sent;sent
Escolher;choose;chose;chosen
Esconder;hide;hid;hidden
Escrever;write;wrote;written
Esforçar;strive;strove;striven
Espalhar;spread;spread;spread
Esquecer;forget;forgot;forgotten
Falar;speak;spoke;spoken
Fazer;do;dis;done
Fazer;make;made;made
Fazer;spring;sprang;sprung
Fechar;shut;shut;shut
Fiar;spin;spun;spun
Fugir;flee;fled;fled
Gastar;spend;spent;spent
Golpear;strike;struck;struck
Guardar;keep;kept;kept
Ir;go;went;gone
Irradiar;broadcast;broadcast;broadcast
Jurar;swear;swore;sworm
Ler;read;read;read
Levar;take;took;taken
Liderar;lead;led;led
Lutar;fight;fought;fought
Machucar;hurt;hurt;hurt
Marcar;set;set;set
Matar;slay;slew;slain
Moer;grind;ground;ground
Morder;bite;bit;bitten
Mostrar;show;showed;shown
Reluzir;shine;shone;shone
Saltar;spring;sprang;sprung;
